complaints,category
"Please fix the stagnant water this is a major safety risk. Specifically, the stagnant water near the main square is getting worse. Immediate attention is needed.",Health
"Urgent notice regarding dim lights which is causing a lot of trouble. Specifically, the dim lights near the main square is getting worse. Danger attention is needed.",Electricity
"Please fix the street light out this is a major safety risk. Specifically, the street light out near the main square is getting worse. Hazard attention is needed.",Roads
"Please fix the cracked pavement the whole neighborhood is complaining. Specifically, the cracked pavement near the main square is getting worse. Life-threatening attention is needed.",Roads
"Please fix the contaminated this is a major safety risk. Specifically, the contaminated near the main square is getting worse. Hazard attention is needed.",Water
"I want to report sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Emergency attention is needed.",Sanitation
"There is a stray dog menace which is causing a lot of trouble. Specifically, the stray dog menace near the main square is getting worse. Emergency attention is needed.",Health
"There is a no supply this is a major safety risk. Specifically, the no supply near the main square is getting worse. Urgent attention is needed.",Water
"There is a clinic closed which is causing a lot of trouble. Specifically, the clinic closed near the main square is getting worse. Urgent attention is needed.",Health
"Urgent notice regarding garbage pile and it has been like this for days. Specifically, the garbage pile near the main square is getting worse. Urgent attention is needed.",Sanitation
"There is a low pressure this is a major safety risk. Specifically, the low pressure near the main square is getting worse. Hazard attention is needed.",Water
"Please fix the transformer failure and it has been like this for days. Specifically, the transformer failure near the main square is getting worse. Fire attention is needed.",Electricity
"Urgent notice regarding sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Hazard attention is needed.",Sanitation
"Please fix the sparking wire this is a major safety risk. Specifically, the sparking wire near the main square is getting worse. Leak attention is needed.",Electricity
"Continuous issue with sewage leak this is a major safety risk. Specifically, the sewage leak near the main square is getting worse. Hazard attention is needed.",Sanitation
"I want to report contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Urgent attention is needed.",Water
"There is a power cut the whole neighborhood is complaining. Specifically, the power cut near the main square is getting worse. Immediate attention is needed.",Electricity
"There is a garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Continuous issue with dirty water and it has been like this for days. Specifically, the dirty water near the main square is getting worse. Immediate attention is needed.",Water
"I want to report pipe burst and it has been like this for days. Specifically, the pipe burst near the main square is getting worse. Danger attention is needed.",Water
"Urgent notice regarding mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Hazard attention is needed.",Health
"Continuous issue with outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Hazard attention is needed.",Health
"I want to report garbage pile this is a major safety risk. Specifically, the garbage pile near the main square is getting worse. Emergency attention is needed.",Sanitation
"Continuous issue with pothole and it has been like this for days. Specifically, the pothole near the main square is getting worse. Fire attention is needed.",Roads
"I want to report street light out which is causing a lot of trouble. Specifically, the street light out near the main square is getting worse. Life-threatening attention is needed.",Roads
"Please fix the clinic closed the whole neighborhood is complaining. Specifically, the clinic closed near the main square is getting worse. Hazard attention is needed.",Health
"There is a street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Danger attention is needed.",Roads
"I want to report stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Immediate attention is needed.",Health
"Urgent notice regarding traffic signal broken this is a major safety risk. Specifically, the traffic signal broken near the main square is getting worse. Fire attention is needed.",Roads
"Urgent notice regarding uncollected waste and it has been like this for days. Specifically, the uncollected waste near the main square is getting worse. Hazard attention is needed.",Sanitation
"Please fix the stagnant water the whole neighborhood is complaining. Specifically, the stagnant water near the main square is getting worse. Leak attention is needed.",Health
"There is a street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Emergency attention is needed.",Roads
"Please fix the low pressure and it has been like this for days. Specifically, the low pressure near the main square is getting worse. Life-threatening attention is needed.",Water
"There is a dim lights which is causing a lot of trouble. Specifically, the dim lights near the main square is getting worse. Leak attention is needed.",Electricity
"I want to report clinic closed which is causing a lot of trouble. Specifically, the clinic closed near the main square is getting worse. Emergency attention is needed.",Health
"There is a stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Urgent attention is needed.",Health
"There is a flooded road the whole neighborhood is complaining. Specifically, the flooded road near the main square is getting worse. Fire attention is needed.",Roads
"Continuous issue with transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Leak attention is needed.",Electricity
"I want to report power cut this is a major safety risk. Specifically, the power cut near the main square is getting worse. Danger attention is needed.",Electricity
"Urgent notice regarding garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Fire attention is needed.",Sanitation
"Please fix the outbreak risk this is a major safety risk. Specifically, the outbreak risk near the main square is getting worse. Immediate attention is needed.",Health
"Urgent notice regarding power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Urgent attention is needed.",Electricity
"I want to report street light out this is a major safety risk. Specifically, the street light out near the main square is getting worse. Immediate attention is needed.",Roads
"I want to report traffic signal broken this is a major safety risk. Specifically, the traffic signal broken near the main square is getting worse. Danger attention is needed.",Roads
"I want to report pipe burst which is causing a lot of trouble. Specifically, the pipe burst near the main square is getting worse. Life-threatening attention is needed.",Water
"I want to report mosquito breeding the whole neighborhood is complaining. Specifically, the mosquito breeding near the main square is getting worse. Urgent attention is needed.",Health
"I want to report contaminated this is a major safety risk. Specifically, the contaminated near the main square is getting worse. Life-threatening attention is needed.",Water
"Urgent notice regarding downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Immediate attention is needed.",Electricity
"I want to report no supply which is causing a lot of trouble. Specifically, the no supply near the main square is getting worse. Danger attention is needed.",Water
"Continuous issue with pipe burst this is a major safety risk. Specifically, the pipe burst near the main square is getting worse. Leak attention is needed.",Water
"I want to report sparking wire and it has been like this for days. Specifically, the sparking wire near the main square is getting worse. Leak attention is needed.",Electricity
"Continuous issue with outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Fire attention is needed.",Health
"Please fix the traffic signal broken and it has been like this for days. Specifically, the traffic signal broken near the main square is getting worse. Hazard attention is needed.",Roads
"Continuous issue with bad smell which is causing a lot of trouble. Specifically, the bad smell near the main square is getting worse. Leak attention is needed.",Sanitation
"Please fix the overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Fire attention is needed.",Sanitation
"There is a downed line this is a major safety risk. Specifically, the downed line near the main square is getting worse. Urgent attention is needed.",Electricity
"Please fix the sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Immediate attention is needed.",Sanitation
"Urgent notice regarding stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Emergency attention is needed.",Health
"There is a sparking wire this is a major safety risk. Specifically, the sparking wire near the main square is getting worse. Hazard attention is needed.",Electricity
"Please fix the sparking wire the whole neighborhood is complaining. Specifically, the sparking wire near the main square is getting worse. Leak attention is needed.",Electricity
"Please fix the stagnant water the whole neighborhood is complaining. Specifically, the stagnant water near the main square is getting worse. Danger attention is needed.",Health
"I want to report dim lights this is a major safety risk. Specifically, the dim lights near the main square is getting worse. Fire attention is needed.",Electricity
"There is a garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Fire attention is needed.",Sanitation
"There is a bad smell this is a major safety risk. Specifically, the bad smell near the main square is getting worse. Danger attention is needed.",Sanitation
"Please fix the garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Emergency attention is needed.",Sanitation
"There is a cracked pavement which is causing a lot of trouble. Specifically, the cracked pavement near the main square is getting worse. Leak attention is needed.",Roads
"I want to report stagnant water this is a major safety risk. Specifically, the stagnant water near the main square is getting worse. Life-threatening attention is needed.",Health
"Continuous issue with sewage leak which is causing a lot of trouble. Specifically, the sewage leak near the main square is getting worse. Leak attention is needed.",Sanitation
"Continuous issue with sewage leak this is a major safety risk. Specifically, the sewage leak near the main square is getting worse. Fire attention is needed.",Sanitation
"Urgent notice regarding sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Emergency attention is needed.",Sanitation
"Continuous issue with stray dog menace this is a major safety risk. Specifically, the stray dog menace near the main square is getting worse. Hazard attention is needed.",Health
"There is a leak which is causing a lot of trouble. Specifically, the leak near the main square is getting worse. Leak attention is needed.",Water
"Urgent notice regarding power cut the whole neighborhood is complaining. Specifically, the power cut near the main square is getting worse. Emergency attention is needed.",Electricity
"I want to report mosquito breeding and it has been like this for days. Specifically, the mosquito breeding near the main square is getting worse. Fire attention is needed.",Health
"Urgent notice regarding downed line this is a major safety risk. Specifically, the downed line near the main square is getting worse. Urgent attention is needed.",Electricity
"I want to report stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Life-threatening attention is needed.",Health
"I want to report pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Urgent attention is needed.",Roads
"There is a outbreak risk the whole neighborhood is complaining. Specifically, the outbreak risk near the main square is getting worse. Urgent attention is needed.",Health
"Please fix the contaminated which is causing a lot of trouble. Specifically, the contaminated near the main square is getting worse. Urgent attention is needed.",Water
"Please fix the no supply the whole neighborhood is complaining. Specifically, the no supply near the main square is getting worse. Danger attention is needed.",Water
"Please fix the cracked pavement and it has been like this for days. Specifically, the cracked pavement near the main square is getting worse. Emergency attention is needed.",Roads
"Continuous issue with contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Danger attention is needed.",Water
"I want to report contaminated this is a major safety risk. Specifically, the contaminated near the main square is getting worse. Danger attention is needed.",Water
"Please fix the street light out this is a major safety risk. Specifically, the street light out near the main square is getting worse. Life-threatening attention is needed.",Roads
"I want to report no supply this is a major safety risk. Specifically, the no supply near the main square is getting worse. Emergency attention is needed.",Water
"There is a leak this is a major safety risk. Specifically, the leak near the main square is getting worse. Immediate attention is needed.",Water
"Continuous issue with outbreak risk the whole neighborhood is complaining. Specifically, the outbreak risk near the main square is getting worse. Immediate attention is needed.",Health
"Urgent notice regarding dim lights the whole neighborhood is complaining. Specifically, the dim lights near the main square is getting worse. Life-threatening attention is needed.",Electricity
"Urgent notice regarding no supply the whole neighborhood is complaining. Specifically, the no supply near the main square is getting worse. Leak attention is needed.",Water
"Please fix the traffic signal broken the whole neighborhood is complaining. Specifically, the traffic signal broken near the main square is getting worse. Emergency attention is needed.",Roads
"Continuous issue with uncollected waste the whole neighborhood is complaining. Specifically, the uncollected waste near the main square is getting worse. Fire attention is needed.",Sanitation
"I want to report clinic closed which is causing a lot of trouble. Specifically, the clinic closed near the main square is getting worse. Immediate attention is needed.",Health
"Please fix the dirty water the whole neighborhood is complaining. Specifically, the dirty water near the main square is getting worse. Urgent attention is needed.",Water
"Urgent notice regarding mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Leak attention is needed.",Health
"Please fix the bad smell which is causing a lot of trouble. Specifically, the bad smell near the main square is getting worse. Immediate attention is needed.",Sanitation
"Urgent notice regarding overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Danger attention is needed.",Sanitation
"Please fix the stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Life-threatening attention is needed.",Health
"Please fix the power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Life-threatening attention is needed.",Electricity
"There is a downed line the whole neighborhood is complaining. Specifically, the downed line near the main square is getting worse. Immediate attention is needed.",Electricity
"I want to report sparking wire which is causing a lot of trouble. Specifically, the sparking wire near the main square is getting worse. Life-threatening attention is needed.",Electricity
"Continuous issue with transformer failure which is causing a lot of trouble. Specifically, the transformer failure near the main square is getting worse. Danger attention is needed.",Electricity
"Continuous issue with cracked pavement and it has been like this for days. Specifically, the cracked pavement near the main square is getting worse. Fire attention is needed.",Roads
"Please fix the sparking wire this is a major safety risk. Specifically, the sparking wire near the main square is getting worse. Hazard attention is needed.",Electricity
"Please fix the transformer failure and it has been like this for days. Specifically, the transformer failure near the main square is getting worse. Urgent attention is needed.",Electricity
"I want to report stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Immediate attention is needed.",Health
"Please fix the sparking wire and it has been like this for days. Specifically, the sparking wire near the main square is getting worse. Emergency attention is needed.",Electricity
"Urgent notice regarding dirty water which is causing a lot of trouble. Specifically, the dirty water near the main square is getting worse. Emergency attention is needed.",Water
"There is a mosquito breeding and it has been like this for days. Specifically, the mosquito breeding near the main square is getting worse. Hazard attention is needed.",Health
"I want to report clinic closed and it has been like this for days. Specifically, the clinic closed near the main square is getting worse. Immediate attention is needed.",Health
"Urgent notice regarding bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Danger attention is needed.",Sanitation
"Urgent notice regarding stray dog menace which is causing a lot of trouble. Specifically, the stray dog menace near the main square is getting worse. Urgent attention is needed.",Health
"Continuous issue with traffic signal broken and it has been like this for days. Specifically, the traffic signal broken near the main square is getting worse. Immediate attention is needed.",Roads
"Urgent notice regarding uncollected waste the whole neighborhood is complaining. Specifically, the uncollected waste near the main square is getting worse. Leak attention is needed.",Sanitation
"Continuous issue with downed line and it has been like this for days. Specifically, the downed line near the main square is getting worse. Emergency attention is needed.",Electricity
"There is a stagnant water which is causing a lot of trouble. Specifically, the stagnant water near the main square is getting worse. Immediate attention is needed.",Health
"There is a low pressure the whole neighborhood is complaining. Specifically, the low pressure near the main square is getting worse. Urgent attention is needed.",Water
"I want to report dirty water the whole neighborhood is complaining. Specifically, the dirty water near the main square is getting worse. Immediate attention is needed.",Water
"I want to report traffic signal broken and it has been like this for days. Specifically, the traffic signal broken near the main square is getting worse. Fire attention is needed.",Roads
"I want to report mosquito breeding this is a major safety risk. Specifically, the mosquito breeding near the main square is getting worse. Hazard attention is needed.",Health
"Please fix the stray dog menace which is causing a lot of trouble. Specifically, the stray dog menace near the main square is getting worse. Leak attention is needed.",Health
"I want to report flooded road and it has been like this for days. Specifically, the flooded road near the main square is getting worse. Leak attention is needed.",Roads
"Urgent notice regarding sewage leak which is causing a lot of trouble. Specifically, the sewage leak near the main square is getting worse. Urgent attention is needed.",Sanitation
"I want to report dirty water which is causing a lot of trouble. Specifically, the dirty water near the main square is getting worse. Urgent attention is needed.",Water
"There is a sparking wire this is a major safety risk. Specifically, the sparking wire near the main square is getting worse. Immediate attention is needed.",Electricity
"There is a outbreak risk this is a major safety risk. Specifically, the outbreak risk near the main square is getting worse. Danger attention is needed.",Health
"Please fix the pothole and it has been like this for days. Specifically, the pothole near the main square is getting worse. Leak attention is needed.",Roads
"Please fix the uncollected waste and it has been like this for days. Specifically, the uncollected waste near the main square is getting worse. Hazard attention is needed.",Sanitation
"There is a downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Hazard attention is needed.",Electricity
"I want to report outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Danger attention is needed.",Health
"Please fix the pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Leak attention is needed.",Roads
"Continuous issue with uncollected waste and it has been like this for days. Specifically, the uncollected waste near the main square is getting worse. Leak attention is needed.",Sanitation
"I want to report clinic closed this is a major safety risk. Specifically, the clinic closed near the main square is getting worse. Fire attention is needed.",Health
"Continuous issue with pipe burst the whole neighborhood is complaining. Specifically, the pipe burst near the main square is getting worse. Fire attention is needed.",Water
"Please fix the sparking wire the whole neighborhood is complaining. Specifically, the sparking wire near the main square is getting worse. Fire attention is needed.",Electricity
"I want to report dim lights this is a major safety risk. Specifically, the dim lights near the main square is getting worse. Leak attention is needed.",Electricity
"I want to report flooded road the whole neighborhood is complaining. Specifically, the flooded road near the main square is getting worse. Life-threatening attention is needed.",Roads
"Urgent notice regarding flooded road which is causing a lot of trouble. Specifically, the flooded road near the main square is getting worse. Emergency attention is needed.",Roads
"I want to report stray dog menace this is a major safety risk. Specifically, the stray dog menace near the main square is getting worse. Danger attention is needed.",Health
"Please fix the contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Danger attention is needed.",Water
"I want to report overflowing bin this is a major safety risk. Specifically, the overflowing bin near the main square is getting worse. Hazard attention is needed.",Sanitation
"Continuous issue with street light out this is a major safety risk. Specifically, the street light out near the main square is getting worse. Hazard attention is needed.",Roads
"Please fix the overflowing bin and it has been like this for days. Specifically, the overflowing bin near the main square is getting worse. Immediate attention is needed.",Sanitation
"Continuous issue with overflowing bin the whole neighborhood is complaining. Specifically, the overflowing bin near the main square is getting worse. Danger attention is needed.",Sanitation
"Please fix the sparking wire the whole neighborhood is complaining. Specifically, the sparking wire near the main square is getting worse. Hazard attention is needed.",Electricity
"Urgent notice regarding street light out which is causing a lot of trouble. Specifically, the street light out near the main square is getting worse. Hazard attention is needed.",Roads
"I want to report garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Fire attention is needed.",Sanitation
"There is a uncollected waste this is a major safety risk. Specifically, the uncollected waste near the main square is getting worse. Hazard attention is needed.",Sanitation
"There is a mosquito breeding this is a major safety risk. Specifically, the mosquito breeding near the main square is getting worse. Immediate attention is needed.",Health
"I want to report sparking wire which is causing a lot of trouble. Specifically, the sparking wire near the main square is getting worse. Hazard attention is needed.",Electricity
"There is a dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Fire attention is needed.",Electricity
"Continuous issue with bad smell and it has been like this for days. Specifically, the bad smell near the main square is getting worse. Fire attention is needed.",Sanitation
"Urgent notice regarding stray dog menace which is causing a lot of trouble. Specifically, the stray dog menace near the main square is getting worse. Leak attention is needed.",Health
"Please fix the downed line the whole neighborhood is complaining. Specifically, the downed line near the main square is getting worse. Fire attention is needed.",Electricity
"Continuous issue with cracked pavement the whole neighborhood is complaining. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"I want to report traffic signal broken and it has been like this for days. Specifically, the traffic signal broken near the main square is getting worse. Leak attention is needed.",Roads
"Please fix the outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Danger attention is needed.",Health
"Urgent notice regarding overflowing bin this is a major safety risk. Specifically, the overflowing bin near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"I want to report traffic signal broken this is a major safety risk. Specifically, the traffic signal broken near the main square is getting worse. Fire attention is needed.",Roads
"Continuous issue with dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Danger attention is needed.",Electricity
"There is a outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Hazard attention is needed.",Health
"Please fix the sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Leak attention is needed.",Sanitation
"There is a flooded road this is a major safety risk. Specifically, the flooded road near the main square is getting worse. Leak attention is needed.",Roads
"There is a transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Hazard attention is needed.",Electricity
"There is a bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Immediate attention is needed.",Sanitation
"There is a cracked pavement which is causing a lot of trouble. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"Urgent notice regarding dirty water the whole neighborhood is complaining. Specifically, the dirty water near the main square is getting worse. Leak attention is needed.",Water
"There is a bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Danger attention is needed.",Sanitation
"Continuous issue with contaminated the whole neighborhood is complaining. Specifically, the contaminated near the main square is getting worse. Fire attention is needed.",Water
"Please fix the dirty water the whole neighborhood is complaining. Specifically, the dirty water near the main square is getting worse. Leak attention is needed.",Water
"Urgent notice regarding transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Danger attention is needed.",Electricity
"Continuous issue with garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Hazard attention is needed.",Sanitation
"I want to report leak this is a major safety risk. Specifically, the leak near the main square is getting worse. Immediate attention is needed.",Water
"Continuous issue with power cut which is causing a lot of trouble. Specifically, the power cut near the main square is getting worse. Urgent attention is needed.",Electricity
"Urgent notice regarding cracked pavement this is a major safety risk. Specifically, the cracked pavement near the main square is getting worse. Life-threatening attention is needed.",Roads
"Urgent notice regarding pothole which is causing a lot of trouble. Specifically, the pothole near the main square is getting worse. Life-threatening attention is needed.",Roads
"Please fix the garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Urgent attention is needed.",Sanitation
"Urgent notice regarding cracked pavement this is a major safety risk. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"Continuous issue with outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Urgent attention is needed.",Health
"Continuous issue with low pressure which is causing a lot of trouble. Specifically, the low pressure near the main square is getting worse. Fire attention is needed.",Water
"Continuous issue with overflowing bin and it has been like this for days. Specifically, the overflowing bin near the main square is getting worse. Leak attention is needed.",Sanitation
Short circuit ,Electricity
